index,en_date,en_link_1,en_desc_1,en_link_2,en_desc_2,en_link_3,en_desc_3,tc_date,tc_link_1,tc_desc_1,tc_link_2,tc_desc_2,tc_link_3,tc_desc_3,sc_date,sc_link_1,sc_desc_1,sc_link_2,sc_desc_2,sc_link_3,sc_desc_3
27,2014/2015,https://web.archive.org/web/20221115071302/https://www.ombudsman.hk/wp-content/uploads/2022/07/engstatistics_2015.xlsx,Statistics (Excel),https://web.archive.org/web/20221115071428/https://www.ombudsman.hk/wp-content/uploads/2022/07/2014-15areng.pdf,Report (PDF),https://web.archive.org/web/20221115071422/https://www.ombudsman.hk/wp-content/uploads/2022/07/2014-15_summaryeng.pdf,Summary (PDF),2014/2015,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/chistatistics_2015.xlsx,統計圖表 (Excel),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2014-15artc.pdf,全文 (PDF),https://web.archive.org/web/20221210090244/https://www.ombudsman.hk/wp-content/uploads/2022/07/2014-15_summarytc.pdf,摘要 (PDF),2014/2015,https://web.archive.org/web/20221115071036/https://www.ombudsman.hk/wp-content/uploads/2022/07/scstatistics_2015.xlsx,统计图表 (Excel),https://web.archive.org/web/20221115071130/https://www.ombudsman.hk/wp-content/uploads/2022/07/2014-15arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115070949/https://www.ombudsman.hk/wp-content/uploads/2022/07/2014-15_summarysc.pdf,摘要 (PDF)
26,2013/2014,https://web.archive.org/web/20221115071303/https://www.ombudsman.hk/wp-content/uploads/2022/07/2013-14areng.pdf,Report (PDF),https://web.archive.org/web/20221115071349/https://www.ombudsman.hk/wp-content/uploads/2022/07/2013-14_summaryeng.pdf,Summary (PDF),,,2013/2014,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2013-14artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2013-14_summarytc.pdf,摘要 (PDF),,,2013/2014,https://web.archive.org/web/20221115071123/https://www.ombudsman.hk/wp-content/uploads/2022/07/2013-14arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071242/https://www.ombudsman.hk/wp-content/uploads/2022/07/2013-14_summarysc.pdf,摘要 (PDF),,
25,2012/2013,https://web.archive.org/web/20221115071438/https://www.ombudsman.hk/wp-content/uploads/2022/07/2012-13areng.pdf,Report (PDF),https://web.archive.org/web/20221115071353/https://www.ombudsman.hk/wp-content/uploads/2022/07/2012-13_summaryeng.pdf,Summary (PDF),,,2012/2013,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2012-13artc.pdf,全文 (PDF),https://web.archive.org/web/20221210084312/https://www.ombudsman.hk/wp-content/uploads/2022/07/2012-13_summarytc.pdf,摘要 (PDF),,,2012/2013,https://web.archive.org/web/20221115071112/https://www.ombudsman.hk/wp-content/uploads/2022/07/2012-13arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071118/https://www.ombudsman.hk/wp-content/uploads/2022/07/2012-13_summarysc.pdf,摘要 (PDF),,
24,2011/2012,https://web.archive.org/web/20221115071511/https://www.ombudsman.hk/wp-content/uploads/2022/07/2011-12areng.pdf,Report (PDF),https://web.archive.org/web/20221115071315/https://www.ombudsman.hk/wp-content/uploads/2022/07/2011-12_summaryeng.pdf,Summary (PDF),,,2011/2012,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2011-12artc.pdf,全文 (PDF),https://web.archive.org/web/20221210083143/https://www.ombudsman.hk/wp-content/uploads/2022/07/2011-12_summarytc.pdf,摘要 (PDF),,,2011/2012,https://web.archive.org/web/20221115071141/https://www.ombudsman.hk/wp-content/uploads/2022/07/2011-12arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071114/https://www.ombudsman.hk/wp-content/uploads/2022/07/2011-12_summarysc.pdf,摘要 (PDF),,
23,2010/2011,https://web.archive.org/web/20221115071442/https://www.ombudsman.hk/wp-content/uploads/2022/07/2010-11areng.pdf,Report (PDF),https://web.archive.org/web/20221115071308/https://www.ombudsman.hk/wp-content/uploads/2022/07/2010-11_summaryeng.pdf,Summary (PDF),,,2010/2011,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2010-11artc.pdf,全文 (PDF),https://web.archive.org/web/20221210082455/https://www.ombudsman.hk/wp-content/uploads/2022/07/2010-11_summarytc.pdf,摘要 (PDF),,,2010/2011,https://web.archive.org/web/20221115071052/https://www.ombudsman.hk/wp-content/uploads/2022/07/2010-11arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071109/https://www.ombudsman.hk/wp-content/uploads/2022/07/2010-11_summarysc.pdf,摘要 (PDF),,
22,2009/2010,https://web.archive.org/web/20221115071425/https://www.ombudsman.hk/wp-content/uploads/2022/07/2009-10areng.pdf,Report (PDF),https://web.archive.org/web/20221115071456/https://www.ombudsman.hk/wp-content/uploads/2022/07/2009-10_summaryeng.pdf,Summary (PDF),,,2009/2010,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2009-10artc.pdf,全文 (PDF),https://web.archive.org/web/20221210075355/https://www.ombudsman.hk/wp-content/uploads/2022/07/2009-10_summarytc.pdf,摘要 (PDF),,,2009/2010,https://web.archive.org/web/20221115071237/https://www.ombudsman.hk/wp-content/uploads/2022/07/2009-10arsc.pdf,全文 (PDF),https://web.archive.org/web/20221115071102/https://www.ombudsman.hk/wp-content/uploads/2022/07/2009-10_summarysc.pdf,摘要 (PDF),,
21,2008/2009,https://www.ombudsman.hk/wp-content/uploads/2022/07/2008-09areng.pdf,Report (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2008-09_summaryeng.pdf,Summary (PDF),,,2008/2009,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2008-09artc.pdf,全文 (PDF),https://web.archive.org/web/20221210080206/https://www.ombudsman.hk/wp-content/uploads/2022/07/2008-09_summarytc.pdf,摘要 (PDF),,,2008/2009,https://www.ombudsman.hk/wp-content/uploads/2022/07/2008-09arsc.pdf,全文 (PDF),https://web.archive.org/web/20240725160851/https://www.ombudsman.hk/wp-content/uploads/2022/07/2008-09_summarysc.pdf,摘要 (PDF),,
20,2007/2008,https://www.ombudsman.hk/wp-content/uploads/2022/07/2007-08areng.pdf,Report (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2007-08_summaryeng.pdf,Summary (PDF),,,2007/2008,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2007-08artc.pdf,全文 (PDF),https://web.archive.org/web/20221210074742/https://www.ombudsman.hk/wp-content/uploads/2022/07/2007-08_summarytc.pdf,摘要 (PDF),,,2007/2008,https://www.ombudsman.hk/wp-content/uploads/2022/07/2007-08arsc.pdf,全文 (PDF),https://web.archive.org/web/20240725160102/https://www.ombudsman.hk/wp-content/uploads/2022/07/2007-08_summarysc.pdf,摘要 (PDF),,
19,2006/2007,https://web.archive.org/web/20230101083742/https://www.ombudsman.hk/wp-content/uploads/2022/07/2006-07areng.pdf,Report (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2006-07_summaryeng.pdf,Summary (PDF),,,2006/2007,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2006-07artc.pdf,全文 (PDF),https://web.archive.org/web/20221210100713/https://www.ombudsman.hk/wp-content/uploads/2022/07/2006-07_summarytc.pdf,摘要 (PDF),,,2006/2007,https://www.ombudsman.hk/wp-content/uploads/2022/07/2006-07arsc.pdf,全文 (PDF),https://web.archive.org/web/20240725154726/https://www.ombudsman.hk/wp-content/uploads/2022/07/2006-07_summarysc.pdf,摘要 (PDF),,
18,2005/2006,https://www.ombudsman.hk/wp-content/uploads/2022/07/2005-06areng.pdf,Report (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2005-06_summaryeng.pdf,Summary (PDF),,,2005/2006,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2005-06artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2005-06_summarytc.pdf,摘要 (PDF),,,2005/2006,https://web.archive.org/web/20221115071104/https://www.ombudsman.hk/wp-content/uploads/2022/07/2005-06arsc.pdf,全文 (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2005-06_summarysc.pdf,摘要 (PDF),,
17,2004/2005,https://www.ombudsman.hk/wp-content/uploads/2022/07/2004-05areng.pdf,Report (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2004-05_summaryeng.pdf,Summary (PDF),,,2004/2005,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2004-05artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2004-05_summarytc.pdf,摘要 (PDF),,,2004/2005,https://www.ombudsman.hk/wp-content/uploads/2022/07/2004-05arsc.pdf,全文 (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2004-05_summarysc.pdf,摘要 (PDF),,
16,2003/2004,https://www.ombudsman.hk/wp-content/uploads/2022/07/2003-04areng.pdf,Report (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2003-04_summaryeng.pdf,Summary (PDF),,,2003/2004,https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2003-04artc.pdf,全文 (PDF),https://web.archive.org/web/20230318080642/https://www.ombudsman.hk/wp-content/uploads/2022/07/2003-04_summarytc.pdf,摘要 (PDF),,,2003/2004,https://www.ombudsman.hk/wp-content/uploads/2022/07/2003-04arsc.pdf,全文 (PDF),https://www.ombudsman.hk/wp-content/uploads/2022/07/2003-04_summarysc.pdf,摘要 (PDF),,
